Aktivitätstyp,Datum,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge
Laufen,2020-08-22 11:13:16,3.82,269,0:20:47,138,150,2.4,160,174,5:26,4:05,55,67,1.15
Radfahren,2020-08-22 8:37:31,56.06,"1,178",2:30:09,119,143,2.6,--,--,22.4,47.9,448,461,0
Laufen,2020-08-20 7:40:48,11.36,678,1:02:41,135,155,2.8,160,192,5:31,3:32,124,116,1.13
Schwimmbadschwimmen,2020-08-19 8:17:18,"1,400",311,0:49:09,144,181,3.7,--,--,2:48,0:49,--,--,0
Laufen,2020-08-18 7:49:42,7.97,592,0:43:31,146,162,3.6,162,190,5:28,3:48,119,122,1.13
Radfahren,2020-08-16 10:31:27,38.25,"1,014",1:53:33,126,150,3,--,--,20.2,42.4,442,438,0
Schwimmbadschwimmen,2020-08-15 12:51:28,"1,800",397,1:00:55,129,160,2.8,--,--,2:41,1:21,--,--,0
Laufen,2020-08-14 7:11:11,8.54,667,0:47:06,145,166,3.6,162,190,5:31,3:49,131,136,1.12
Laufen,2020-08-13 9:16:12,3.11,237,0:18:06,132,150,2.5,157,176,5:49,4:20,31,31,1.1
Laufen,2020-08-12 8:24:01,1.97,143,0:11:32,130,148,2,157,164,5:51,4:44,22,12,1.08
Laufen,2020-08-11 7:11:43,3.14,240,0:18:39,134,152,2.3,159,194,5:56,4:16,63,58,1.06
Laufen,2020-08-09 10:07:56,8.53,557,0:50:07,134,147,2.5,159,196,5:53,4:23,123,120,1.07
Laufen,2020-08-08 10:47:14,6.67,442,0:38:24,130,147,2.3,157,168,5:46,4:16,102,97,1.1
Laufen,2020-08-07 9:43:47,7.99,627,0:47:11,141,161,3.3,160,176,5:54,3:45,95,90,1.06
